Post_ID,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Engagement_Rate,Viral_Score,Viral_Level,Is_High_Viral
POST_02131,Instagram,Carousel,Health,6342,62,163,23890,486,14.62,47.480514419329694,Low,False
POST_01977,Twitter,Poll,Fashion,145,183,223,1947,282,0.46,33.24949698189135,Low,False
POST_04253,Twitter,Poll,Health,4073,129,1122,96934,425,19.82,67.88229376257544,High,True
POST_02226,Facebook,Live,Entertainment,3270,132,535,10351,754,1.22,62.83536585365853,Moderate,False
POST_02509,TikTok,Video,Business,33034,309,2036,242685,2609,19.1,55.821240105540895,Moderate,False
POST_00885,TikTok,Duet,Fashion,8731,994,1938,75043,577,3.14,27.833113456464375,Low,False
POST_03590,Instagram,Carousel,Food,7684,20,151,3713,125,16.62,34.167965705378016,Low,False
POST_01451,Facebook,Story,Entertainment,5232,366,371,10075,558,2.32,61.8165650406504,Moderate,False
POST_04753,LinkedIn,Post,Health,472,94,425,18259,112,0.36,55.796812749003976,Moderate,False
POST_03402,Instagram,Story,Technology,8440,165,264,37752,483,1.86,64.90257209664847,High,True
POST_04525,TikTok,Stitch,Lifestyle,46571,441,758,302431,1829,476.41,42.69129287598944,Low,False
POST_03917,LinkedIn,Poll,Health,794,7,127,14918,32,1.24,18.79980079681275,Low,False
POST_00483,Facebook,Video,Sports,4283,106,38,73605,646,0.89,41.92581300813008,Low,False
POST_02783,YouTube,Community Post,Education,13734,469,172,726267,4479,5.28,51.83716075156576,Moderate,False
POST_00147,Facebook,Video,Gaming,3309,303,203,21871,590,4.08,50.919715447154466,Moderate,False
POST_01364,Facebook,Live,Business,6830,129,742,57034,78,3.27,47.19512195121951,Low,False
POST_02243,Facebook,Live,Sports,478,266,811,76686,562,0.41,64.33434959349593,High,True
POST_01461,Twitter,Thread,Fitness,4449,21,209,57922,448,1.33,49.147384305835004,Low,False
POST_04354,YouTube,Community Post,Lifestyle,4676,219,376,470105,4140,1.37,42.406054279749476,Low,False
POST_00471,Instagram,Photo,Technology,9883,67,77,43316,382,2.48,38.74512860483242,Low,False
POST_04025,LinkedIn,Poll,Lifestyle,1895,17,158,15208,205,0.51,50.64741035856572,Moderate,False
POST_04594,Twitter,Thread,Education,400,4,1034,45335,106,0.59,26.70774647887324,Low,False
POST_03823,TikTok,Stitch,Entertainment,35475,1898,2937,187442,1847,76.88,65.76187335092348,High,True
POST_04447,Instagram,Photo,Food,5088,262,199,14888,660,1.28,61.740062353858136,Moderate,False
POST_02198,TikTok,Duet,Lifestyle,32338,66,969,479514,2703,11.95,47.23284960422164,Low,False
POST_02303,Facebook,Live,Sports,3204,107,380,57955,489,1.41,44.728150406504064,Low,False
POST_04612,Instagram,Story,Health,2366,255,107,32084,535,305.83,42.486360093530784,Low,False
POST_03896,TikTok,Duet,Technology,30187,821,4505,71771,2764,15.75,78.25197889182058,Very High,True
POST_02056,LinkedIn,Article,Sports,170,19,259,25386,143,0.13,38.122509960159356,Low,False
POST_03661,Facebook,Post,Food,6580,9,900,31319,646,24.77,72.66768292682927,High,True
POST_00991,TikTok,Video,Health,31852,1590,801,323063,616,39.51,32.044854881266495,Low,False
POST_04724,Twitter,Poll,Health,2640,172,1471,29943,329,0.92,65.86770623742456,High,True
POST_02826,TikTok,Duet,Gaming,25781,1671,3381,20430,224,6.82,45.68931398416887,Low,False
POST_02458,Facebook,Post,Gaming,6543,54,632,43676,465,1.93,56.887703252032516,Moderate,False
POST_04902,Facebook,Live,Business,504,234,46,44411,268,0.43,22.621951219512194,Low,False
POST_01847,Instagram,Carousel,Food,4453,438,291,663,248,3.5,62.022603273577545,Moderate,False
POST_04101,Facebook,Post,Sports,6260,5,169,6216,458,30.39,37.76930894308943,Low,False
POST_00057,Instagram,Photo,Gaming,5741,410,126,10052,350,2.42,47.95791114575214,Low,False
POST_01124,TikTok,Stitch,Fitness,38874,81,4338,232603,1319,15.12,56.41490765171504,Moderate,False
POST_01437,Twitter,Thread,Health,2813,177,396,67504,147,0.71,34.45674044265593,Low,False
POST_04128,YouTube,Community Post,Health,4016,921,1195,677761,1270,1.3,46.91544885177452,Low,False
POST_00343,Instagram,Reel,Fitness,1899,280,211,45999,436,0.68,50.89243959469991,Moderate,False
POST_04713,Twitter,Tweet,Fashion,1910,32,362,17951,484,1.18,47.40442655935613,Low,False
POST_04636,YouTube,Community Post,Technology,9823,417,589,639335,3961,2.39,52.51565762004176,Moderate,False
POST_04642,Twitter,Thread,Travel,2576,103,975,63465,221,1.16,45.181086519114686,Low,False
POST_03566,LinkedIn,Poll,Sports,1545,120,12,2194,209,2.38,48.82470119521912,Low,False
POST_04720,YouTube,Video,Health,7987,542,791,398393,3449,4.16,52.802713987473894,Moderate,False
POST_04522,Facebook,Live,Business,1062,134,81,28161,138,0.39,15.464939024390242,Low,False
POST_04559,YouTube,Short,Gaming,1100,821,1467,711542,4223,0.75,68.72651356993738,High,True
POST_02951,TikTok,Stitch,Business,19793,1018,4074,257816,1086,8.42,54.027044854881254,Moderate,False
POST_04115,Facebook,Post,Sports,4674,114,267,12139,303,4.13,35.42428861788618,Low,False
POST_00338,LinkedIn,Article,Fashion,1574,48,478,23296,7,5.2,49.58167330677291,Low,False
POST_00110,Instagram,Story,Education,150,43,291,2900,309,0.21,45.167575993764615,Low,False
POST_01086,Facebook,Video,Technology,286,219,454,69548,168,0.75,31.768292682926823,Low,False
POST_02563,Instagram,Photo,Technology,9875,148,105,34673,464,4.2,47.40257209664848,Low,False
POST_02331,Twitter,Retweet,Technology,2508,106,230,19802,32,4.68,19.695674044265594,Low,False
POST_02175,Instagram,Story,Education,1379,34,296,4199,917,0.82,69.07248636009352,High,True
POST_02110,YouTube,Video,Gaming,4368,808,275,190721,807,61.96,26.52922755741127,Low,False
POST_01046,Facebook,Video,Education,647,131,266,5057,494,0.49,37.520325203252035,Low,False
POST_01100,Twitter,Poll,Sports,3399,215,947,53196,380,0.92,64.19265593561367,High,True
POST_00758,Facebook,Live,Lifestyle,7091,159,835,35164,583,12.62,74.09298780487804,High,True
POST_04114,Instagram,Reel,Health,412,142,210,40620,74,0.21,31.782930631332807,Low,False
POST_02435,YouTube,Live,Health,19639,806,321,725703,2092,9.58,47.95407098121085,Low,False
POST_04614,Instagram,Photo,Technology,3668,263,261,3706,470,1.34,59.97272018706157,Moderate,False
POST_04867,Twitter,Poll,Fitness,26,207,1207,94651,187,0.66,44.32092555331992,Low,False
POST_03820,Facebook,Video,Business,5171,250,163,70298,748,2.42,57.64989837398373,Moderate,False
POST_03576,Twitter,Retweet,Fitness,3940,142,1944,37624,55,6.35,57.03722334004024,Moderate,False
POST_00910,Twitter,Poll,Fashion,1613,51,1235,89627,346,0.69,53.07344064386318,Moderate,False
POST_04696,TikTok,Video,Fashion,5391,243,3142,9876,2778,2.63,57.21635883905013,Moderate,False
POST_01126,Facebook,Post,Fashion,3046,9,192,60195,750,0.98,45.60721544715447,Low,False
POST_03285,Facebook,Post,Food,3401,57,340,76452,437,1.98,39.822154471544714,Low,False
POST_04097,Instagram,Photo,Gaming,5564,46,94,22263,290,1.47,30.379968823070925,Low,False
POST_04987,LinkedIn,Poll,Entertainment,1615,83,358,1184,201,0.49,67.95816733067727,High,True
POST_01760,Facebook,Video,Sports,7957,303,613,33600,654,2.66,77.3145325203252,Very High,True
POST_03762,LinkedIn,Post,Business,1964,112,118,26278,250,0.64,63.461155378486055,Moderate,False
POST_03791,Instagram,Carousel,Technology,1169,171,63,49825,262,2.72,22.622759158222912,Low,False
POST_01523,Twitter,Retweet,Fitness,4251,281,83,43738,197,4.38,41.34808853118712,Low,False
POST_02948,Facebook,Video,Sports,4917,86,380,16484,458,3.03,46.17378048780487,Low,False
POST_03344,Instagram,Reel,Entertainment,1417,62,92,32890,871,0.32,45.02338269680436,Low,False
POST_02098,Facebook,Story,Travel,4929,226,92,71992,436,4.46,39.692581300813,Low,False
POST_01783,Facebook,Post,Sports,7406,273,937,20661,728,3.9,89.27083333333331,Very High,True
POST_03371,Instagram,Photo,Travel,1488,333,46,21794,342,0.49,28.998441153546374,Low,False
POST_00755,Instagram,Story,Travel,5701,337,47,4501,73,1.91,27.065471551052216,Low,False
POST_01547,TikTok,Stitch,Food,39344,1057,3856,483575,2839,577.32,79.56794195250659,Very High,True
POST_00278,Facebook,Story,Lifestyle,7105,184,663,57034,787,2.05,78.02591463414635,Very High,True
POST_03317,Facebook,Video,Education,3160,17,801,64490,756,2.01,67.64481707317073,High,True
POST_03432,YouTube,Video,Gaming,1601,167,967,69858,314,2.9,23.778705636743215,Low,False
POST_03605,Instagram,Reel,Technology,5014,121,200,34570,591,1.58,55.220187061574435,Moderate,False
POST_00634,Facebook,Post,Health,4000,301,563,17282,533,2.18,62.12906504065041,Moderate,False
POST_04147,Instagram,Carousel,Technology,3582,261,269,32102,371,6.09,57.11418550272798,Moderate,False
POST_02369,Twitter,Tweet,Education,4511,242,36,26120,204,1.16,39.806338028169016,Low,False
POST_01552,Facebook,Story,Entertainment,3406,66,294,43825,71,0.8,22.441565040650406,Low,False
POST_02276,Facebook,Story,Health,2646,146,360,15128,399,1.32,40.515752032520325,Low,False
POST_03084,Facebook,Live,Gaming,3969,175,183,5188,382,1.18,37.256097560975604,Low,False
POST_03769,Instagram,Carousel,Entertainment,980,463,10,46112,430,0.88,30.863211223694464,Low,False
POST_04937,YouTube,Live,Education,18368,441,862,395961,989,49.18,42.98016701461377,Low,False
POST_04375,Facebook,Post,Sports,7706,42,138,7407,198,5.51,29.580792682926827,Low,False
POST_04819,TikTok,Stitch,Technology,49227,86,4822,379735,1115,15.71,61.6787598944591,Moderate,False
POST_03045,LinkedIn,Document,Food,1699,140,161,19708,239,3.51,64.800796812749,High,True
POST_02883,Instagram,Photo,Gaming,9387,466,117,43543,76,2.18,44.497272018706155,Low,False
POST_00183,YouTube,Video,Travel,19119,832,500,707443,3959,20.53,63.987473903966595,High,True
POST_03126,Facebook,Live,Gaming,4105,21,179,58944,767,1.37,48.3155487804878,Low,False
POST_01243,TikTok,Stitch,Entertainment,28457,874,808,482007,544,18.51,24.96042216358839,Low,False
POST_02695,YouTube,Community Post,Health,11912,44,699,370992,966,3.06,29.472860125260958,Low,False
POST_01970,Instagram,Photo,Technology,4419,362,178,6368,793,1.41,66.20810600155885,High,True
POST_04906,Instagram,Carousel,Gaming,5039,401,199,46894,47,8.44,44.54208885424785,Low,False
POST_01183,Facebook,Story,Lifestyle,2704,316,297,26466,794,31.26,62.52794715447154,Moderate,False
POST_00547,Instagram,Carousel,Education,7298,278,277,8550,967,3.49,85.41893998441152,Very High,True
POST_04884,Instagram,Story,Food,7597,340,80,23442,462,1.91,47.209664848012466,Low,False
POST_01612,LinkedIn,Post,Lifestyle,1596,75,145,16202,192,6.46,51.513944223107565,Moderate,False
POST_01528,Twitter,Thread,Travel,132,190,1140,39062,314,0.3,51.82847082494969,Moderate,False
POST_02282,Twitter,Thread,Entertainment,4938,80,350,87624,253,7.08,42.01961770623742,Low,False
POST_03900,TikTok,Video,Lifestyle,21899,852,1624,216540,1355,11.67,38.311345646437985,Low,False
POST_01719,YouTube,Video,Technology,4055,392,410,714341,968,1.05,23.977035490605424,Low,False
POST_04706,Twitter,Tweet,Gaming,4209,6,1592,55421,209,1.22,54.94466800804828,Moderate,False
POST_00808,YouTube,Live,Technology,19439,416,1257,103552,111,5.22,44.30062630480167,Low,False
POST_04085,Instagram,Reel,Travel,5243,246,50,32559,743,2.78,47.03429462197973,Low,False
POST_04044,Facebook,Post,Food,7415,241,458,69266,94,32.11,43.069105691056905,Low,False
POST_03577,Instagram,Story,Lifestyle,7180,59,151,45196,972,1.85,64.59275136399064,High,True
POST_00188,Facebook,Post,Gaming,7237,175,443,10194,605,1.72,62.365345528455286,Moderate,False
POST_03362,Twitter,Poll,Lifestyle,2589,122,805,35253,169,1.49,39.6327967806841,Low,False
POST_00731,Instagram,Story,Business,9569,107,246,42216,833,3.47,74.87724084177707,High,True
POST_01690,TikTok,Video,Gaming,47487,1549,256,159641,864,10.27,35.860817941952504,Low,False
POST_03688,Twitter,Tweet,Travel,2301,74,1385,30622,95,0.93,42.16549295774647,Low,False
POST_03302,YouTube,Short,Travel,13117,628,930,295203,1543,3.4,47.520876826722336,Low,False
POST_00459,Instagram,Carousel,Lifestyle,8458,200,282,3773,656,4.52,74.35892439594699,High,True
POST_00852,LinkedIn,Document,Fitness,933,23,105,25316,208,0.47,40.40338645418326,Low,False
POST_03509,TikTok,Duet,Lifestyle,27941,1035,4109,372278,2894,15.27,78.51583113456464,Very High,True
POST_04293,Facebook,Post,Lifestyle,2076,216,192,53218,541,5.4,42.78455284552846,Low,False
POST_03367,Twitter,Poll,Sports,427,134,1710,42573,480,5.36,71.56187122736418,High,True
POST_00260,Instagram,Reel,Fitness,3768,498,25,39951,71,2.51,25.843725643024158,Low,False
POST_02999,Twitter,Poll,Lifestyle,1831,147,384,17551,261,0.53,37.83450704225352,Low,False
POST_00309,TikTok,Stitch,Fitness,17512,1627,1262,489469,642,15.21,31.487467018469655,Low,False
POST_02725,Twitter,Poll,Gaming,2067,150,1269,29794,296,1.35,57.608148893360166,Moderate,False
POST_00410,Instagram,Reel,Sports,8616,380,36,18276,38,66.86,30.2182385035074,Low,False
POST_01262,TikTok,Duet,Fitness,42835,1976,1787,442991,291,299.86,41.619393139841684,Low,False
POST_02745,Facebook,Video,Fashion,1475,16,196,60885,649,1.19,38.96849593495935,Low,False
POST_03273,LinkedIn,Post,Lifestyle,1360,39,433,21326,41,0.99,48.56075697211155,Low,False
POST_03660,YouTube,Short,Travel,7502,370,1922,302746,2392,8.01,62.24425887265136,Moderate,False
POST_00277,TikTok,Duet,Sports,14790,205,564,15956,873,79.31,17.988126649076513,Low,False
POST_01298,Instagram,Reel,Sports,2029,205,116,18802,710,0.52,47.669524551831636,Low,False
POST_01684,TikTok,Duet,Gaming,42071,1407,1697,33273,2547,9.16,63.02770448548814,Moderate,False
POST_01597,Twitter,Poll,Gaming,2589,238,1485,18507,382,14.69,72.76911468812877,High,True
POST_04931,Twitter,Retweet,Fashion,565,271,172,49809,86,0.33,24.16247484909456,Low,False
POST_02395,TikTok,Duet,Education,15555,1740,994,279823,401,4.9,27.407651715039577,Low,False
POST_00091,Instagram,Photo,Education,6091,235,276,8937,120,5.38,52.671473109898685,Moderate,False
POST_00039,LinkedIn,Article,Sports,1681,142,450,29763,86,1.15,68.06772908366533,High,True
POST_02397,Instagram,Reel,Travel,6826,292,12,9417,171,1.9,26.917381137957907,Low,False
POST_03016,Twitter,Retweet,Entertainment,4013,14,880,46221,154,3.7,38.21428571428571,Low,False
POST_04748,Instagram,Photo,Food,8994,182,83,30994,713,102.51,53.692517537022596,Moderate,False
POST_01299,Facebook,Live,Business,7153,28,570,45513,402,25.0,51.986788617886184,Moderate,False
POST_02848,Twitter,Retweet,Education,1095,113,139,62850,477,0.28,44.886820925553316,Low,False
POST_01310,TikTok,Video,Business,13019,1420,4523,497812,1244,10.44,60.052770448548806,Moderate,False
POST_02626,YouTube,Community Post,Lifestyle,16356,856,933,270951,2210,3.99,57.90187891440502,Moderate,False
POST_02814,Instagram,Carousel,Health,1362,333,260,22391,793,0.59,69.59275136399064,High,True
POST_02342,Instagram,Carousel,Health,7333,154,7,49641,41,1.72,18.117692907248635,Low,False
POST_03407,TikTok,Video,Health,932,1932,1041,146257,944,1.66,31.748021108179415,Low,False
POST_01590,LinkedIn,Poll,Gaming,256,105,361,18926,164,0.87,56.16533864541833,Moderate,False
POST_01048,Instagram,Photo,Gaming,5955,25,276,29431,342,4.45,52.52727981293843,Moderate,False
POST_04397,Twitter,Thread,Education,3485,259,1091,47116,20,2.65,43.94617706237425,Low,False
POST_02434,Twitter,Thread,Gaming,2504,180,620,49601,126,1.8,36.5417505030181,Low,False
POST_01633,LinkedIn,Post,Education,537,107,219,28280,143,0.62,46.59362549800796,Low,False
POST_04104,Instagram,Reel,Business,365,314,79,33798,726,1.88,44.55378020265004,Low,False
POST_02635,LinkedIn,Article,Education,694,18,51,25932,181,0.17,31.96215139442231,Low,False
POST_04490,Facebook,Video,Education,3763,132,865,28418,276,1.22,53.96087398373983,Moderate,False
POST_01440,LinkedIn,Poll,Food,752,48,87,3634,196,2.2,39.08366533864541,Low,False
POST_01722,Instagram,Story,Entertainment,3937,35,294,10335,293,1.58,50.705378020265,Moderate,False
POST_02830,Instagram,Story,Entertainment,6895,344,282,17627,480,13.99,70.22408417770849,High,True
POST_00439,LinkedIn,Poll,Gaming,135,72,39,12087,208,0.08,35.32868525896414,Low,False
POST_03842,Instagram,Photo,Travel,2485,297,180,31891,438,1.11,48.98480124707716,Low,False
POST_01227,Twitter,Thread,Food,4755,83,1794,82844,225,2.45,65.35462776659959,High,True
POST_02702,YouTube,Video,Technology,16027,610,584,952449,3346,10.77,55.80375782881002,Moderate,False
POST_02048,LinkedIn,Document,Gaming,1756,33,116,20375,202,0.44,48.406374501992026,Low,False
POST_03681,TikTok,Video,Fitness,20453,1334,627,338354,1842,8.36,40.93667546174142,Low,False
POST_00773,Instagram,Carousel,Health,7480,402,135,30722,445,2.9,54.62977396726423,Moderate,False
POST_04089,TikTok,Duet,Entertainment,36592,327,2775,115230,2553,8.41,61.352242744063325,Moderate,False
POST_00661,Twitter,Poll,Technology,2235,55,1287,72094,115,2.1,40.87022132796781,Low,False
POST_01545,YouTube,Video,Lifestyle,9014,651,1819,336415,3205,3.95,70.50626304801669,High,True
POST_00967,LinkedIn,Poll,Gaming,1750,42,373,27883,75,0.96,52.39541832669323,Moderate,False
POST_02693,Instagram,Story,Sports,6678,81,122,19446,558,3.25,46.88620420888542,Low,False
POST_04762,YouTube,Short,Entertainment,15486,347,1224,529926,2886,4.09,59.14405010438413,Moderate,False
POST_02980,YouTube,Live,Technology,3691,476,1098,661951,3661,1.83,55.662839248434224,Moderate,False
POST_02912,Instagram,Story,Technology,7170,455,270,30559,633,3.85,78.03780202650039,Very High,True
POST_02159,Facebook,Post,Entertainment,6011,337,121,70319,704,2.05,59.22002032520325,Moderate,False
POST_04202,Instagram,Reel,Fitness,473,240,25,45950,459,0.62,26.219797349961027,Low,False
POST_04539,Instagram,Story,Fitness,2553,96,106,41898,507,1.05,36.65822291504287,Low,False
POST_00734,Facebook,Live,Technology,5536,259,21,13917,55,2.8,22.81758130081301,Low,False
POST_01659,Twitter,Poll,Travel,2368,101,729,93973,484,1.17,58.908450704225345,Moderate,False
POST_00180,Instagram,Photo,Fashion,6206,151,241,43602,836,1.48,71.04832424006236,High,True
POST_04002,TikTok,Video,Business,41610,829,233,236042,718,10.3,26.28957783641161,Low,False
POST_00673,Instagram,Photo,Fashion,6054,212,64,19115,320,2.4,33.74123148869836,Low,False
POST_01812,TikTok,Video,Sports,4189,122,2492,327453,2327,6.31,46.15435356200528,Low,False
POST_00169,Instagram,Story,Education,2113,48,231,26316,408,1.48,44.727201870615744,Low,False
POST_02928,YouTube,Video,Health,10970,646,482,553073,1401,2.75,37.4321503131524,Low,False
POST_04158,TikTok,Video,Education,38218,1236,4510,181375,963,10.91,62.302110817941944,Moderate,False
POST_02579,Twitter,Thread,Technology,3537,26,512,66633,272,0.95,40.057847082494966,Low,False
POST_04601,Instagram,Photo,Entertainment,3622,245,171,39246,303,0.92,43.107950116913486,Low,False
POST_00899,Instagram,Photo,Fashion,8546,207,234,21224,730,7.05,71.34450506625097,High,True
POST_03245,LinkedIn,Document,Fashion,672,90,365,8426,223,0.27,63.969123505976086,High,True
POST_03124,Facebook,Live,Gaming,313,96,229,30208,758,0.35,46.0035569105691,Low,False
POST_00387,Twitter,Retweet,Travel,703,273,1530,80509,366,0.61,67.93259557344064,High,True
POST_01489,Twitter,Thread,Sports,1120,45,722,57869,322,0.57,40.10060362173038,Low,False
POST_03060,YouTube,Community Post,Health,5388,522,979,74836,3442,5.04,54.09185803757828,Moderate,False
POST_01943,TikTok,Duet,Education,10611,1076,3559,146630,576,3.86,41.2664907651715,Low,False
POST_03729,Instagram,Story,Entertainment,1410,13,173,19015,851,1.7,51.60561184723305,Moderate,False
POST_02410,Facebook,Story,Technology,5031,305,941,64842,132,6.07,59.60619918699186,Moderate,False
POST_03800,Facebook,Post,Fashion,484,204,736,51427,194,0.54,43.22154471544715,Low,False
POST_04254,Facebook,Video,Fashion,7469,7,161,851,250,5.44,30.315040650406498,Low,False
POST_00168,Instagram,Reel,Fashion,4507,349,290,10836,967,3.18,85.25526110678099,Very High,True
POST_00293,TikTok,Video,Health,4586,392,4131,317141,918,7.46,42.46042216358839,Low,False
POST_00666,Instagram,Story,Sports,484,11,158,43498,692,1.27,43.16445830085737,Low,False
POST_02570,YouTube,Live,Sports,9365,109,1164,557420,3412,5.74,53.69519832985385,Moderate,False
POST_01306,TikTok,Video,Lifestyle,43148,340,1824,71714,2601,428.64,57.44063324538258,Moderate,False
POST_01146,TikTok,Stitch,Travel,31633,832,961,131794,2541,57.34,50.36609498680738,Moderate,False
POST_02577,YouTube,Short,Education,18120,67,675,320996,207,11.8,29.003131524008353,Low,False
POST_02941,Twitter,Poll,Travel,4795,10,1206,16987,100,1.55,42.81941649899396,Low,False
POST_01638,Instagram,Photo,Travel,9186,369,177,12348,993,7.41,80.70342946219797,Very High,True
POST_03370,LinkedIn,Document,Gaming,1830,34,264,28996,89,4.13,45.96613545816733,Low,False
POST_00790,YouTube,Video,Fashion,11145,948,757,237576,3844,7.76,63.13152400835072,Moderate,False
POST_02347,LinkedIn,Post,Lifestyle,1374,94,479,29167,228,6.17,78.55577689243027,Very High,True
POST_02993,Facebook,Post,Education,3993,97,323,4517,131,3.14,28.3765243902439,Low,False
POST_02091,TikTok,Stitch,Fashion,28044,1976,2964,29336,1810,6.84,64.24472295514512,High,True
POST_02603,LinkedIn,Poll,Business,946,118,371,19140,79,1.2,53.80976095617529,Moderate,False
POST_01467,YouTube,Live,Education,12863,353,515,800362,4353,19.37,54.75469728601252,Moderate,False
POST_02505,Instagram,Photo,Fashion,6619,33,73,22273,771,5.71,46.14380358534684,Low,False
POST_01973,Twitter,Tweet,Technology,3667,297,748,22661,60,10.39,43.18158953722334,Low,False
POST_00708,TikTok,Video,Fitness,48498,1296,1549,113304,2609,18.67,64.32387862796833,High,True
POST_04665,TikTok,Video,Sports,11376,1399,793,203752,2168,6.98,43.55540897097626,Low,False
POST_03865,Instagram,Photo,Health,4364,60,243,40319,267,1.78,45.59431021044426,Low,False
POST_00019,Twitter,Poll,Fitness,3113,173,1632,88231,81,1.88,52.99044265593561,Moderate,False
POST_03910,Twitter,Poll,Technology,599,149,1859,10857,478,2.19,75.36971830985915,High,True
POST_03033,TikTok,Video,Entertainment,45313,337,3836,365306,2832,18.2,75.74538258575197,High,True
POST_04652,LinkedIn,Article,Education,1951,72,311,8572,167,1.02,62.10159362549801,Moderate,False
POST_03478,Facebook,Live,Lifestyle,837,139,825,10773,205,0.65,44.110772357723576,Low,False
POST_04408,Instagram,Carousel,Technology,8342,294,174,15178,937,2.85,74.59469992205767,High,True
POST_01051,TikTok,Stitch,Gaming,2071,1290,1211,451288,582,3.99,23.647757255936675,Low,False
POST_03739,TikTok,Video,Travel,46976,1956,3976,115847,2275,14.33,82.34168865435356,Very High,True
